vehicle,serial,departure,arrival,duration_min,origin,destination,origin_lat,origin_lng,destination_lat,destination_lng,miles,straight_miles,efficiency_ratio,efficiency
RPS 933-090 12 LR,0470009730,2026-07-25 03:15:58,2026-07-25 03:17:11,1.2,"Residential, Yabucoa, Puerto Rico, 00767","Residential, Yabucoa, Puerto Rico, 00767",18.09935,-65.899328,18.099306,-65.899256,0.01,0.01,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-25 08:00:05,2026-07-25 08:00:31,0.4,"Residential, Yabucoa, Puerto Rico, 00767","Residential, Yabucoa, Puerto Rico, 00767",18.099306,-65.899256,18.09935,-65.899073,0.03,0.01,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-26 07:09:51,2026-07-26 07:14:28,4.6,"Residential, Yabucoa, Puerto Rico, 00767","Residential, Yabucoa, Puerto Rico, 00767",18.099339,-65.899112,18.099395,-65.899433,0.01,0.02,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-26 09:10:27,2026-07-26 09:12:24,1.9,"Residential, Yabucoa, Puerto Rico, 00767","Residential, Yabucoa, Puerto Rico, 00767",18.099395,-65.899433,18.099386,-65.899345,0.03,0.01,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-26 15:14:38,2026-07-26 15:15:21,0.7,"Residential, Yabucoa, Puerto Rico, 00767","Residential, Yabucoa, Puerto Rico, 00767",18.099351,-65.899389,18.099351,-65.899389,0,0.0,,Sin distancia suficiente
RPS 933-091 13 ME,0470009728,2026-07-26 17:11:39,2026-07-26 17:12:56,1.3,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.41866,-66.461963,18.41866,-66.461963,0,0.0,,Sin distancia suficiente
RPS 933-091 13 ME,0470009728,2026-07-26 18:18:57,2026-07-26 18:20:30,1.6,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.418648,-66.46205,18.418676,-66.462038,0.02,0.0,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-27 00:45:36,2026-07-27 02:20:34,95.0,"Residential, Yabucoa, Puerto Rico, 00767","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.099351,-65.899389,18.42436,-66.47555,65.88,43.97,1.5,Revisar
RPS 994-204 20 RR,0470009744,2026-07-27 03:04:40,2026-07-27 04:06:07,61.5,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Urbanización Reparto Apolo (Neighbourhood, residential, neighbourhood), Guaynabo, Puerto Rico, 00969",18.424396,-66.475556,18.364045,-66.092074,32.18,25.49,1.26,Eficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 03:06:31,2026-07-27 04:42:51,96.3,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Iglesia Bautista Ciudad de Dios (Place_of_worship), San Juan, Puerto Rico, 00920",18.424438,-66.475691,18.412578,-66.097131,31.17,24.83,1.26,Eficiente
RPS 996-332 21 EP,0470009726,2026-07-27 03:07:27,2026-07-27 04:34:15,86.8,"Residential, Manati, Puerto Rico, 00674","Carretera José Joaquín Rodríguez Rodríguez (Tertiary, PR-149), Villalba, Puerto Rico, 00766",18.42444,-66.475515,18.138276,-66.500023,31.78,19.84,1.6,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 03:07:42,2026-07-27 03:12:33,4.8,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Residential, Manati, Puerto Rico, 00674",18.424425,-66.475519,18.424666,-66.475459,0.03,0.02,,Sin distancia suficiente
RPS-985-742-18 ER,0470009732,2026-07-27 03:16:52,2026-07-27 04:10:23,53.5,"Residential, Manati, Puerto Rico, 00674","Calle Orquídeas (Residential), Dorado, Puerto Rico, 00646",18.424439,-66.475475,18.457035,-66.262958,20.74,14.11,1.47,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 03:18:29,2026-07-27 03:48:39,30.2,"Residential, Manati, Puerto Rico, 00674","Calle La Vía (Residential), Barceloneta, Puerto Rico, 00617",18.424665,-66.475458,18.416812,-66.566978,9.65,6.02,1.6,Revisar
RPS 933-091 13 ME,0470009728,2026-07-27 03:48:28,2026-07-27 03:56:52,8.4,"Residential, Manati, Puerto Rico, 00674","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.418676,-66.46204,18.42437,-66.475525,1.44,0.97,1.49,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 04:05:08,2026-07-27 04:29:17,24.1,"Taco Bell (Fast_food), Carretera Militar, Barceloneta, Puerto Rico, 00617","Residential, Arecibo, Puerto Rico, 00688",18.43136,-66.564295,18.420226,-66.608438,4.7,2.99,1.57,Revisar
RPS 994-204 20 RR,0470009744,2026-07-27 04:25:03,2026-07-27 06:11:50,106.8,"Urbanización Reparto Apolo (Neighbourhood, residential, neighbourhood), Guaynabo, Puerto Rico, 00969","1715 Avenida Juan Ponce de León, Avenida Juan Ponce de León, San Juan, Puerto Rico, 00910",18.364045,-66.092074,18.441298,-66.061858,21.62,5.69,3.8,Ineficiente
RPS-985-742-18 ER,0470009732,2026-07-27 04:30:27,2026-07-27 04:54:01,23.6,"Calle Orquídeas (Residential), Dorado, Puerto Rico, 00646","Calle Golondrina (Residential), Toa Alta, Puerto Rico, 00953",18.457036,-66.262959,18.399561,-66.229251,7.27,4.54,1.6,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 04:38:05,2026-07-27 05:05:13,27.1,"Residential, Arecibo, Puerto Rico, 00688","Calle 10A (Residential), Arecibo, Puerto Rico, 00616",18.420226,-66.608438,18.433279,-66.674183,6.51,4.4,1.48,Revisar
RPS 996-332 21 EP,0470009726,2026-07-27 04:40:19,2026-07-27 04:57:21,17.0,"Carretera José Joaquín Rodríguez Rodríguez (Tertiary, PR-149), Villalba, Puerto Rico, 00766","PR-514 (Tertiary), Villalba, Puerto Rico, 00766",18.138276,-66.500023,18.12402,-66.517618,3.94,1.52,2.59,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 04:49:27,2026-07-27 04:53:29,4.0,"Iglesia Bautista Ciudad de Dios (Place_of_worship), San Juan, Puerto Rico, 00920","Capri (Variety_store), Avenida Matadero / Calle 15 NO, San Juan, Puerto Rico, 00920",18.412578,-66.097131,18.414193,-66.095621,0.67,0.15,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-27 04:49:41,2026-07-27 05:52:36,62.9,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Plaza 40 (Residential), Catano, Puerto Rico, 00962",18.42436,-66.47555,18.453325,-66.145468,26.45,21.73,1.22,Eficiente
RPS 933-089 11 EO,0470009731,2026-07-27 04:50:32,2026-07-27 04:53:53,3.4,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Residential, Manati, Puerto Rico, 00674",18.424504,-66.475674,18.424451,-66.475446,0.03,0.02,,Sin distancia suficiente
RPS 996-332 21 EP,0470009726,2026-07-27 05:02:29,2026-07-27 05:36:05,33.6,"PR-514 (Tertiary), Villalba, Puerto Rico, 00766","Calle 16 (Residential), Juana Diaz, Puerto Rico, 00795",18.124023,-66.517624,17.994695,-66.49727,11.07,9.04,1.23,Eficiente
RPS 933-089 11 EO,0470009731,2026-07-27 05:04:38,2026-07-27 06:32:23,87.8,"Residential, Manati, Puerto Rico, 00674","Calle Constitución (Residential), Lares, Puerto Rico, 00669",18.424451,-66.475446,18.297565,-66.879296,36.34,27.9,1.3,Eficiente
RPS 933-091 13 ME,0470009728,2026-07-27 05:06:07,2026-07-27 05:11:12,5.1,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.42437,-66.475525,18.42438,-66.475565,0.27,0.0,,Sin distancia suficiente
RPS-985-742-18 ER,0470009732,2026-07-27 05:08:03,2026-07-27 05:30:11,22.1,"Calle Golondrina (Residential), Toa Alta, Puerto Rico, 00953","Avenida Campanilla (Tertiary), Toa Baja, Puerto Rico, 00949",18.399563,-66.229251,18.426151,-66.229549,3.51,1.84,1.91,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 05:14:58,2026-07-27 05:40:26,25.5,"Capri (Variety_store), Avenida Matadero / Calle 15 NO, San Juan, Puerto Rico, 00920","Residential, Guaynabo, Puerto Rico, 00971",18.414193,-66.095621,18.341473,-66.120008,6.82,5.27,1.29,Eficiente
RPS 994-209 19 MD,0470009727,2026-07-27 05:16:35,2026-07-27 05:35:08,18.6,"Calle 10A (Residential), Arecibo, Puerto Rico, 00616","Calle I (Residential), Arecibo, Puerto Rico, 00612",18.433279,-66.674183,18.462195,-66.724785,5.01,3.87,1.29,Eficiente
RPS 933-091 13 ME,0470009728,2026-07-27 05:41:24,2026-07-27 05:48:01,6.6,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693","Residential, Manati, Puerto Rico, 00674",18.42438,-66.475565,18.424731,-66.47547,0.04,0.03,,Sin distancia suficiente
RPS 996-332 21 EP,0470009726,2026-07-27 05:42:57,2026-07-27 06:04:56,22.0,"Calle 16 (Residential), Juana Diaz, Puerto Rico, 00795","Calle Erizo (Residential), Santa Isabel, Puerto Rico, 00757",17.994695,-66.49727,17.954196,-66.40058,8.37,6.94,1.2,Eficiente
RPS-985-742-18 ER,0470009732,2026-07-27 05:44:27,2026-07-27 06:07:39,23.2,"Avenida Campanilla (Tertiary), Toa Baja, Puerto Rico, 00949","Vía del Palmar (Residential), Toa Baja, Puerto Rico, 00949",18.426151,-66.229548,18.46145,-66.194271,9.02,3.36,2.68,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 05:48:33,2026-07-27 06:30:54,42.4,"Residential, Guaynabo, Puerto Rico, 00971","Urbanización Roosevelt (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00918",18.341473,-66.120008,18.419013,-66.064576,9.72,6.47,1.5,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 05:49:22,2026-07-27 06:03:09,13.8,"Calle I (Residential), Arecibo, Puerto Rico, 00612","Avenida El Paraíso (Unclassified), Arecibo, Puerto Rico, 00612",18.462195,-66.724785,18.441168,-66.756983,3.59,2.56,1.4,Revisar
RPS 933-091 13 ME,0470009728,2026-07-27 05:57:10,2026-07-27 06:06:22,9.2,"Residential, Manati, Puerto Rico, 00674","Carretera Militar (Secondary, PR-2), Manati, Puerto Rico, 00674",18.424731,-66.47547,18.43642,-66.462935,1.76,1.15,1.53,Revisar
RPS 933-090 12 LR,0470009730,2026-07-27 06:10:14,2026-07-27 06:40:09,29.9,"Plaza 40 (Residential), Catano, Puerto Rico, 00962","Condominio Monteverde Real (Residential, residential), San Juan, Puerto Rico, 00926",18.453325,-66.145468,18.352966,-66.076788,12.47,8.27,1.51,Revisar
RPS 933-091 13 ME,0470009728,2026-07-27 06:11:30,2026-07-27 07:29:08,77.6,"Carretera Militar (Secondary, PR-2), Manati, Puerto Rico, 00674","Calle Los Reyes (Residential), Arecibo, Puerto Rico, 00612",18.43642,-66.462935,18.446688,-66.64815,27.93,12.16,2.3,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-27 06:12:07,2026-07-27 06:24:01,11.9,"Calle Erizo (Residential), Santa Isabel, Puerto Rico, 00757","Calle 8 (Residential), Santa Isabel, Puerto Rico, 00757",17.954196,-66.40058,17.970088,-66.405718,1.79,1.15,1.56,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 06:19:44,2026-07-27 06:31:48,12.1,"Avenida El Paraíso (Unclassified), Arecibo, Puerto Rico, 00612","Calle Paco Pagán (Residential), Hatillo, Puerto Rico, 00659",18.441166,-66.756983,18.425396,-66.781446,2.62,1.94,1.35,Eficiente
RPS 994-204 20 RR,0470009744,2026-07-27 06:22:08,2026-07-27 06:42:06,20.0,"1715 Avenida Juan Ponce de León, Avenida Juan Ponce de León, San Juan, Puerto Rico, 00910","Calle Segundo Fontánez (Residential), San Juan, Puerto Rico, 00926",18.441298,-66.061858,18.328361,-66.062051,9.79,7.8,1.25,Eficiente
RPS 996-332 21 EP,0470009726,2026-07-27 06:28:24,2026-07-27 06:45:23,17.0,"Calle 8 (Residential), Santa Isabel, Puerto Rico, 00757","Portal de la Reina (Residential, residential), Santa Isabel, Puerto Rico, 00757",17.970088,-66.405718,18.014548,-66.378178,4.71,3.57,1.32,Eficiente
RPS 933-089 11 EO,0470009731,2026-07-27 06:32:26,2026-07-27 06:35:51,3.4,"Calle Constitución (Residential), Lares, Puerto Rico, 00669","Carretera Mariana Bracetti (Secondary, PR-129), Lares, Puerto Rico, 00669",18.297574,-66.879296,18.312461,-66.875818,1.97,1.05,1.87,Ineficiente
RPS 933-089 11 EO,0470009731,2026-07-27 06:46:52,2026-07-27 07:24:16,37.4,"Carretera Mariana Bracetti (Secondary, PR-129), Lares, Puerto Rico, 00669","Calle Luis Sánchez (Residential), Quebradillas, Puerto Rico, 00678",18.312461,-66.875818,18.441832,-66.941381,14.14,9.92,1.43,Revisar
RPS 994-209 19 MD,0470009727,2026-07-27 06:47:45,2026-07-27 07:10:05,22.3,"Calle Paco Pagán (Residential), Hatillo, Puerto Rico, 00659","PR-489 (Tertiary), Hatillo, Puerto Rico, 00659",18.425396,-66.781446,18.366508,-66.781871,8.85,4.07,2.17,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-27 06:48:19,2026-07-27 07:01:27,13.1,"Portal de la Reina (Residential, residential), Santa Isabel, Puerto Rico, 00757","Carretera Villalba - Coamo (Secondary, PR-150), Coamo, Puerto Rico, 00769",18.014548,-66.378178,18.079205,-66.371781,5.57,4.49,1.24,Eficiente
RPS-985-742-18 ER,0470009732,2026-07-27 06:48:31,2026-07-27 07:03:33,15.0,"Vía del Palmar (Residential), Toa Baja, Puerto Rico, 00949","Calle Dr. José M. Espillat (Residential), Toa Baja, Puerto Rico, 00949",18.461449,-66.19427,18.442513,-66.187486,3.74,1.38,2.71,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-27 06:48:38,2026-07-27 07:34:21,45.7,"Urbanización Roosevelt (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00918","Calle Degetau (Residential), San Juan, Puerto Rico, 00915",18.419013,-66.064576,18.443191,-66.053275,3.09,1.83,1.69,Revisar
RPS 933-090 12 LR,0470009730,2026-07-27 06:49:42,2026-07-27 07:05:35,15.9,"Condominio Monteverde Real (Residential, residential), San Juan, Puerto Rico, 00926","Parque de los Monacillos (Residential, residential), San Juan, Puerto Rico, 00921",18.352966,-66.076788,18.378941,-66.095251,3.55,2.16,1.64,Revisar
RPS 994-204 20 RR,0470009744,2026-07-27 06:51:30,2026-07-27 07:32:28,41.0,"Calle Segundo Fontánez (Residential), San Juan, Puerto Rico, 00926","Urbanización El Señorial (Neighbourhood, residential, neighbourhood), San Juan, Puerto Rico, 00926",18.32836,-66.062051,18.360001,-66.057403,4.4,2.21,1.99,Ineficiente
RPS 996-332 21 EP,0470009726,2026-07-27 07:04:10,2026-07-27 08:14:38,70.5,"Carretera Villalba - Coamo (Secondary, PR-150), Coamo, Puerto Rico, 00769","Carretera Villalba - Coamo (Secondary, PR-150), Coamo, Puerto Rico, 00769",18.079205,-66.371781,18.086181,-66.414898,3.47,2.87,1.21,Eficiente
